,ICD9,counts,frequency,description
153,779.3,1047,0.019857375867693358,Feeding problems in newborn
154,V12.54,1043,0.019781511967530252,"Transient ischemic attack (TIA), and cerebral infarction without residual deficits"
155,787.91,1037,0.01966771611728559,Diarrhea
156,570,1034,0.01961081819216326,Acute and subacute necrosis of liver
157,770.81,1033,0.019591852217122483,Primary apnea of newborn
158,E849.7,1024,0.01942115844175549,Accidents occurring in residential institution
159,788.20,1012,0.01919356674126617,"Retention of urine, unspecified"
160,37.61,1003,0.019022872965899176,Implant of pulsation balloon
161,280.0,991,0.018795281265409854,Iron deficiency anemia secondary to blood loss (chronic)
162,286.9,985,0.018681485415165195,Other and unspecified coagulation defects
163,572.3,984,0.01866251944012442,Portal hypertension
164,790.92,971,0.018415961764594316,Abnormal coagulation profile
165,V66.7,968,0.018359063839471987,Encounter for palliative care
166,276.3,967,0.01834009786443121,Alkalosis
167,E888.9,965,0.018302165914349657,Unspecified fall
168,041.4,958,0.018169404089064218,Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site
169,V30.00,949,0.017998710313697226,"Single liveborn, born in hospital, delivered without mention of cesarean section"
170,36.11,949,0.017998710313697226,(Aorto)coronary bypass of one coronary artery
171,789.59,946,0.017941812388574896,Other ascites
172,996.62,943,0.017884914463452566,"Infection and inflammatory reaction due to other vascular device, implant, and graft"
173,577.0,943,0.017884914463452566,Acute pancreatitis
174,345.90,933,0.017695254713044797,"Epilepsy, unspecified, without mention of intractable epilepsy"
175,250.40,933,0.017695254713044797,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with renal manifestations"
176,348.5,923,0.01750559496263703,Cerebral edema
177,998.2,900,0.01706937753669916,Accidental puncture or laceration during a procedure
178,305.00,884,0.016765921936046733,"Alcohol abuse, unspecified drinking behavior"
179,V58.65,881,0.016709024010924403,Encounter for long-term (current) use of steroids
180,45.0,877,0.016633160110761293,Enterotomy
181,715.90,873,0.016557296210598187,"Osteoarthrosis, unspecified whether generalized or localized, involving unspecified site"
182,765.27,869,0.01648143231043508,33-34 completed weeks of gestation
183,V31.01,853,0.01617797670978265,"Twin, mate liveborn, born in hospital, delivered by cesarean section"
184,362.01,849,0.016102112809619543,Background diabetic retinopathy
185,414.8,848,0.016083146834578767,Other specified forms of chronic ischemic heart disease
186,415.19,845,0.016026248909456434,Other pulmonary embolism and infarction
187,288.60,844,0.016007282934415657,"Leukocytosis, unspecified"
188,88.55,834,0.015817623184007888,Coronary arteriography using a single catheter
189,64.0,830,0.015741759283844782,Circumcision
190,562.10,830,0.015741759283844782,Diverticulosis of colon (without mention of hemorrhage)
191,198.5,813,0.015419337708151576,Secondary malignant neoplasm of bone and bone marrow
192,564.00,810,0.015362439783029246,"Constipation, unspecified"
193,99.62,798,0.015134848082539924,Other electric countershock of heart
194,V43.65,795,0.015077950157417593,Knee joint replaced by other means
195,291.81,788,0.014945188332132155,Alcohol withdrawal
196,482.41,786,0.014907256382050602,Pneumonia due to Staphylococcus aureus
197,428.30,785,0.014888290407009824,"Diastolic heart failure, unspecified"
198,512.1,780,0.014793460531805941,Iatrogenic pneumothorax
199,V43.64,777,0.01473656260668361,Hip joint replaced by other means
200,433.10,773,0.014660698706520502,"Occlusion and stenosis of carotid artery, without mention of cerebral infarction"
201,45.23,773,0.014660698706520502,Colonoscopy
202,397.0,764,0.014490004931153511,Diseases of tricuspid valve
203,765.18,762,0.014452072981071956,"Other preterm infants, 2,000-2,499 grams"
204,197.7,762,0.014452072981071956,"Malignant neoplasm of liver, specified as secondary"
205,997.4,754,0.014300345180745742,Digestive system complications
206,38.7,754,0.014300345180745742,Interruption of the vena cava
207,V10.05,748,0.014186549330501081,Personal history of malignant neoplasm of large intestine
208,518.82,743,0.014091719455297197,"Other pulmonary insufficiency, not elsewhere classified"
209,198.3,738,0.013996889580093312,Secondary malignant neoplasm of brain and spinal cord
210,88.42,736,0.013958957630011759,Aortography
211,96.05,733,0.013902059704889428,Other intubation of respiratory tract
212,493.20,732,0.013883093729848651,"Chronic obstructive asthma, without mention of status asthmaticus"
213,197.0,729,0.013826195804726321,Secondary malignant neoplasm of lung
214,682.6,728,0.013807229829685545,"Cellulitis and abscess of leg, except foot"
215,V50.2,724,0.013731365929522437,Routine or ritual circumcision
216,585.3,723,0.01371239995448166,"Chronic kidney disease, Stage III (moderate)"
217,V45.02,711,0.013484808253992338,Automatic implantable cardiac defibrillator in situ
218,88.47,710,0.01346584227895156,Arteriography of other intra-abdominal arteries
219,365.9,701,0.01329514850358457,Unspecified glaucoma
220,434.91,700,0.013276182528543793,"Cerebral artery occlusion, unspecified, with cerebral infarction"
221,303.91,699,0.013257216553503015,"Other and unspecified alcohol dependence, continuous drinking behavior"
222,041.11,693,0.013143420703258354,Staphylococcus aureus infection in conditions classified elsewhere and of unspecified site
223,86.22,692,0.013124454728217577,"Excisional debridement of wound, infection, or burn"
224,E878.1,691,0.0131054887531768,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
225,V17.3,687,0.013029624853013693,Family history of ischemic heart disease
226,54.59,686,0.013010658877972916,Other lysis of peritoneal adhesions
227,338.29,685,0.01299169290293214,Other chronic pain
228,518.89,679,0.012877897052687479,"Other diseases of lung, not elsewhere classified"
229,E934.2,678,0.012858931077646702,Anticoagulants causing adverse effects in therapeutic use
230,E885.9,678,0.012858931077646702,"Fall from other slipping, tripping, or stumbling"
231,V15.3,675,0.01280203315252437,"Personal history of irradiation, presenting hazards to health"
232,578.1,674,0.012783067177483594,Blood in stool
233,86.59,674,0.012783067177483594,Closure of skin and subcutaneous tissue of other sites
234,518.84,672,0.012745135227402041,Acute and chronic respiratory failure
235,593.9,663,0.012574441452035049,Unspecified disorder of kidney and ureter
236,348.30,659,0.012498577551871943,"Encephalopathy, unspecified"
237,44.43,656,0.012441679626749611,Endoscopic control of gastric or duodenal bleeding
238,V09.0,655,0.012422713651708835,Infection with microorganisms resistant to penicillins
239,V43.3,655,0.012422713651708835,Heart valve replaced by other means
240,070.70,655,0.012422713651708835,Unspecified viral hepatitis C without hepatic coma
241,572.2,654,0.012403747676668058,Hepatic coma
242,348.4,654,0.012403747676668058,Compression of brain
243,14.0,652,0.012365815726586503,Removal of foreign body from posterior segment of eye
244,745.5,651,0.012346849751545727,Ostium secundum type atrial septal defect
245,441.4,650,0.01232788377650495,Abdominal aortic aneurysm without mention of rupture
246,576.1,649,0.012308917801464174,Cholangitis
247,553.3,643,0.012195121951219513,Diaphragmatic hernia without mention of obstruction or gangrene
248,714.0,640,0.012138224026097181,Rheumatoid arthritis
249,112.0,638,0.012100292076015628,Candidiasis of mouth
250,349.82,636,0.012062360125934075,Toxic encephalopathy
251,434.11,630,0.011948564275689412,"Cerebral embolism, with cerebral infarction"
252,V15.81,626,0.011872700375526306,"Personal history of noncompliance with medical treatment, presenting hazards to health"
253,492.8,621,0.011777870500322422,Other emphysema
254,15.9,619,0.011739938550240869,Other operations on extraocular muscles and tendons
255,430,617,0.011702006600159314,Subarachnoid hemorrhage
256,041.04,609,0.0115502787998331,Group D Streptococcus [Enterococcus] infection in conditions classified elsewhere and of unspecified site
257,88.48,607,0.011512346849751545,Arteriography of femoral and other lower extremity arteries
258,39.5,606,0.011493380874710768,Other repair of vessels
259,779.81,601,0.011398550999506884,Neonatal bradycardia
260,453.8,599,0.01136061904942533,Embolism and thrombosis of other specified veins
261,45.16,596,0.011303721124303001,Esophagogastroduodenoscopy [EGD] with closed biopsy
262,99.1,594,0.011265789174221446,Injection or infusion of therapeutic or prophylactic substance
263,294.10,593,0.01124682319918067,Dementia in conditions classified elsewhere without behavioral disturbance
264,785.0,588,0.011151993323976785,"Tachycardia, unspecified"
265,583.81,578,0.010962333573569016,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere"
266,296.80,578,0.010962333573569016,"Bipolar disorder, unspecified"
267,303.90,577,0.01094336759852824,"Other and unspecified alcohol dependence, unspecified drinking behavior"
268,287.4,576,0.010924401623487463,Secondary thrombocytopenia
269,276.6,568,0.01077267382316125,Fluid overload
270,780.57,563,0.010677843947957365,Unspecified sleep apnea
271,996.74,562,0.010658877972916588,"Other complications due to other vascular device, implant, and graft"
272,V44.0,560,0.010620946022835033,Tracheostomy status
273,37.21,558,0.01058301407275348,Right heart cardiac catheterization
274,410.41,557,0.010564048097712704,"Acute myocardial infarction, of other inferior wall, initial episode of care"
275,780.09,555,0.010526116147631149,Other alteration of consciousness
276,E933.1,554,0.010507150172590372,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use
277,99.6,554,0.010507150172590372,Conversion of cardiac rhythm
278,331.0,553,0.010488184197549596,Alzheimer&apos;s disease
279,88.52,552,0.01046921822250882,Angiocardiography of right heart structures
280,427.41,551,0.010450252247468043,Ventricular fibrillation
281,331.4,547,0.010374388347304935,Obstructive hydrocephalus
282,96.07,543,0.010298524447141827,Insertion of other (naso-)gastric tube
283,E932.0,543,0.010298524447141827,Adrenal cortical steroids causing adverse effects in therapeutic use
284,693.0,539,0.01022266054697872,Dermatitis due to drugs and medicines taken internally
285,410.11,532,0.010089898721693281,"Acute myocardial infarction, of other anterior wall, initial episode of care"
286,515,529,0.010033000796570952,Postinflammatory pulmonary fibrosis
287,276.4,523,0.00991920494632629,Mixed acid-base balance disorder
288,042,522,0.009900238971285514,Human immunodeficiency virus [HIV] disease
289,38.45,521,0.009881272996244738,Resection of other thoracic vessels with replacement
290,789.5,518,0.009824375071122406,Ascites
291,519.19,518,0.009824375071122406,Other diseases of trachea and bronchus
292,99.25,517,0.00980540909608163,Injection or infusion of cancer chemotherapeutic substance
293,765.28,515,0.009767477146000077,35-36 completed weeks of gestation
294,426.0,514,0.009748511170959298,"Atrioventricular block, complete"
295,346.90,514,0.009748511170959298,"Migraine, unspecified, without mention of intractable migraine"
296,038.11,511,0.009691613245836969,Staphylococcus aureus septicemia
297,V70.7,510,0.009672647270796192,Examination of participant in clinical trial for normal comparison or control in clinical research
298,35.22,506,0.009596783370633084,Other replacement of aortic valve
299,785.59,505,0.009577817395592308,Other shock without mention of trauma
300,E880.9,505,0.009577817395592308,Accidental fall on or from other stairs or steps
301,V10.11,502,0.009520919470469976,Personal history of malignant neoplasm of bronchus and lung
302,332.0,501,0.0095019534954292,Paralysis agitans
303,V10.83,501,0.0095019534954292,Personal history of other malignant neoplasm of skin
304,996.81,500,0.009482987520388423,Complications of transplanted kidney
305,536.3,499,0.009464021545347647,Gastroparesis
306,459.81,499,0.009464021545347647,"Venous (peripheral) insufficiency, unspecified"
307,599.7,497,0.009426089595266092,Hematuria
308,V44.1,497,0.009426089595266092,Gastrostomy status
309,99.20,496,0.009407123620225315,Injection or infusion of platelet inhibitor
310,253.6,494,0.009369191670143762,Other disorders of neurohypophysis
311,770.6,494,0.009369191670143762,Transitory tachypnea of newborn
312,99.29,490,0.009293327769980654,Injection or infusion of other therapeutic or prophylactic substance
313,13.1,489,0.009274361794939878,Intracapsular extraction of lens
314,51.87,489,0.009274361794939878,Endoscopic insertion of stent (tube) into bile duct
315,765.19,488,0.009255395819899101,"Other preterm infants, 2,500+ grams"
316,765.26,487,0.009236429844858325,31-32 completed weeks of gestation
317,428.21,484,0.009179531919735993,"Systolic heart failure, acute"
318,787.20,482,0.00914159996965444,"Dysphagia, unspecified"
319,441.2,479,0.009084702044532109,Thoracic aortic aneurysm without mention of rupture
320,V45.89,477,0.009046770094450556,Other postsurgical status
321,557.0,475,0.009008838144369003,Acute vascular insufficiency of intestine
322,724.2,475,0.009008838144369003,Lumbago
323,784.3,472,0.008951940219246671,Aphasia
324,041.3,470,0.008914008269165118,Friedlander&apos;s bacillus infection in conditions classified elsewhere and of unspecified site
325,33.21,470,0.008914008269165118,Bronchoscopy through artificial stoma
326,342.90,465,0.008819178393961234,"Hemiplegia, unspecified, affecting unspecified side"
327,414.02,464,0.008800212418920457,Coronary atherosclerosis of autologous biological bypass graft
328,038.42,464,0.008800212418920457,Septicemia due to escherichia coli [E. coli]
329,V42.2,463,0.008781246443879679,Heart valve replaced by transplant
330,996.72,460,0.00872434851875735,"Other complications due to other cardiac device, implant, and graft"
331,765.17,456,0.008648484618594241,"Other preterm infants, 1,750-1,999 grams"
332,286.7,456,0.008648484618594241,Acquired coagulation factor deficiency
333,284.1,454,0.008610552668512688,Pancytopenia
334,46.39,454,0.008610552668512688,Other enterostomy
335,438.89,452,0.008572620718431135,Other late effects of cerebrovascular disease
336,250.02,452,0.008572620718431135,"type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, without mention of complication"
337,275.3,451,0.008553654743390357,Disorders of phosphorus metabolism
338,V46.2,451,0.008553654743390357,Dependence on supplemental oxygen
339,401.1,451,0.008553654743390357,Benign essential hypertension
340,E879.0,450,0.00853468876834958,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
341,37.78,445,0.008439858893145696,Insertion of temporary transvenous pacemaker system
342,770.89,444,0.00842089291810492,Other respiratory problems after birth
343,997.5,444,0.00842089291810492,"Urinary complications, not elsewhere classified"
344,51.22,443,0.008401926943064143,Cholecystectomy
345,51.85,442,0.008382960968023366,Endoscopic sphincterotomy and papillotomy
346,37.83,440,0.008345029017941812,Initial insertion of dual-chamber device
347,37.72,439,0.008326063042901035,Initial insertion of transvenous leads [electrodes] into atrium and ventricle
348,250.50,435,0.008250199142737929,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with ophthalmic manifestations"
349,286.6,432,0.008193301217615597,Defibrination syndrome
350,423.9,430,0.008155369267534044,Unspecified disease of pericardium
351,250.80,430,0.008155369267534044,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with other specified manifestations"
352,93.90,430,0.008155369267534044,Continuous positive airway pressure [CPAP]
353,535.50,430,0.008155369267534044,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage"
354,790.4,430,0.008155369267534044,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
355,398.91,429,0.008136403292493268,Rheumatic heart failure (congestive)
356,428.31,427,0.008098471342411713,"Diastolic heart failure, acute"
357,438.20,426,0.008079505367370936,Hemiplegia affecting unspecified side as late effect of cerebrovascular disease
358,707.15,426,0.008079505367370936,Ulcer of other part of foot
359,356.9,426,0.008079505367370936,Unspecified idiopathic peripheral neuropathy
360,198.89,425,0.00806053939233016,Secondary malignant neoplasm of other specified sites
361,45.62,425,0.00806053939233016,Other partial resection of small intestine
362,440.20,425,0.00806053939233016,"Atherosclerosis of native arteries of the extremities, unspecified"
363,36.14,424,0.008041573417289383,(Aorto)coronary bypass of four or more coronary arteries
364,577.1,424,0.008041573417289383,Chronic pancreatitis
365,482.1,423,0.008022607442248607,Pneumonia due to Pseudomonas
366,348.1,422,0.008003641467207829,Anoxic brain damage
367,46.0,420,0.007965709517126275,Exteriorization of intestine
368,V10.52,420,0.007965709517126275,Personal history of malignant neoplasm of kidney
369,37.34,419,0.007946743542085499,"Excision or destruction of other lesion or tissue of heart, other approach"
370,V10.82,419,0.007946743542085499,Personal history of malignant melanoma of skin
371,780.2,419,0.007946743542085499,Syncope and collapse
372,E878.0,418,0.007927777567044722,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
373,37.26,416,0.007889845616963168,Catheter based invasive electrophysiologic testing
374,578.0,416,0.007889845616963168,Hematemesis
375,733.90,415,0.007870879641922391,"Disorder of bone and cartilage, unspecified"
376,997.02,412,0.007813981716800061,Iatrogenic cerebrovascular infarction or hemorrhage
377,250.61,412,0.007813981716800061,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with neurological manifestations"
378,780.6,410,0.007776049766718507,Fever
379,456.21,409,0.00775708379167773,"Esophageal varices in diseases classified elsewhere, without mention of bleeding"
380,428.20,408,0.0077381178166369535,"Systolic heart failure, unspecified"
381,35.12,407,0.007719151841596176,Open heart valvuloplasty of mitral valve without replacement
382,776.6,406,0.0077001858665553995,Anemia of prematurity
383,39.0,405,0.007681219891514623,Systemic to pulmonary artery shunt
384,37.0,405,0.007681219891514623,Pericardiocentesis
385,250.13,401,0.007605355991351515,"type I diabetes mellitus [juvenile type], uncontrolled, with ketoacidosis"
386,568.0,400,0.0075863900163107385,Peritoneal adhesions (postoperative) (postinfection)
387,38.92,399,0.007567424041269962,Umbilical vein catheterization
388,591,398,0.0075484580662291845,Hydronephrosis
389,041.7,398,0.0075484580662291845,Pseudomonas infection in conditions classified elsewhere and of unspecified site
390,41.31,397,0.007529492091188408,Biopsy of bone marrow
391,416.0,395,0.007491560141106854,Primary pulmonary hypertension
392,861.21,394,0.0074725941660660775,Contusion of lung without open wound into thorax
393,81.62,393,0.007453628191025301,Fusion or refusion of 2-3 vertebrae
394,682.2,392,0.0074346622159845235,Cellulitis and abscess of trunk
395,39.79,392,0.0074346622159845235,Other endovascular graft repair (of aneurysm) of other vessels
396,038.49,391,0.007415696240943747,Other septicemia due to gram-negative organisms
